Yn Affrick	África
Ronney:Coontae Kościerzyna	Categoria:Condado de Kościerzyna
Ronney:Coontae Kwidzyn	Categoria:Condado de Kwidzyn
Ronney:Coontae Lębork	Categoria:Condado de Lębork
Ronney:Coontae Malbork	Categoria:Condado de Malbork
Ronney:Coontae Nowy Dwór Gdański	Categoria:Condado de Nowy Dwór Gdański
Ronney:Coontae Puck	Categoria:Condado de Puck
Ronney:Coontae Starogard	Categoria:Condado de Starogard
Ronney:Coontae Sztum	Categoria:Condado de Sztum
Ronney:Coontae Słupsk	Categoria:Condado de Słupsk
Ronney:Coontae Tczew	Categoria:Condado de Tczew
Ronney:Coontae Wejherowo	Categoria:Condado de Wejherowo
Clowan:Corys ny Greiney	Predefinição:Sistema Solar
Clowan:Ymmydeyr uk-2	Predefinição:User uk-2
Gleashaght stoo	Fluxo de massa
Annyl	Indigofera suffruticosa
Arraghys (çhengoaylleeaght)	Variação linguística
Yn Çheer Vascagh (reddaghey)	País Basco (desambiguação)
Clowan:Caslys-çheerey soiaghey ny Malveenaghyn	Predefinição:Mapa de localização/Ilhas Malvinas
Ronney:Olsztyn	Categoria:Olsztyn
Ard cultooragh	Região cultural
Ronney:Katowice	Categoria:Katowice
Maria Luísa Mendonça	Maria Luísa Mendonça
Yn Braaid	Braaid
Napin	Nabo
Ronney:Roltagee 'sy Chryss Roltageagh	Categoria:Asteroides da cintura principal
Ronney:Germaanee	Categoria:Alemães
Ronney:Americaanee	Categoria:Estado-unidenses
Ronney:Aghteyryn	Categoria:Atores
Ronney:Austeyree	Categoria:Austríacos
Ronney:Goaldee	Categoria:Britânicos
Ronney:Frangee	Categoria:Franceses
Ronney:Scannaneyn Americaanagh	Categoria:Filmes dos Estados Unidos
Ronney:Iddaalee	Categoria:Nacionais da Itália
Ronney:Sleityn 'syn Oarpey	Categoria:Montanhas da Europa
Ronney:Peinteyryn Germaanagh	Categoria:Pintores da Alemanha
Clowan:Tl	Predefinição:Ligação para predefinição
Clowan:Caslys-çheerey soiaghey Hostyn	Predefinição:Mapa de localização/Inglaterra
Ronney:Leigh	Categoria:Direito
Ronney:Çheeraghyn	Categoria:Países
Ronney:Tarmaynys	Categoria:Economia
Wikipedia:Reireyderyn	Wikipédia:Administradores
Ronney:Yn Chassaghstaan	Categoria:Cazaquistão
Ronney:Kynneeaghtyn	Categoria:Grupos étnicos
Ronney:Moir-ronnaghyn	Categoria:!Categorias contêiner
Ronney:Ronnaghyn follit	Categoria:!Categorias ocultas
Ronney:Traa	Categoria:Tempo
Ronney:Dooghys	Categoria:Natureza
Ronney:Argid (tarmaynys)	Categoria:Dinheiro
Ronney:Lus-oaylleeaght	Categoria:Botânica
Ronney:Jeshaghteyrys	Categoria:Engenharia
Ronney:Cullee	Categoria:Materiais
Ronney:Eear-heeraghyn ny h-Oarpey	Categoria:Estados extintos da Europa
Ronney:Corys nearag	Categoria:Sistema nervoso
Ronney:Ronsaghey-kirpey	Categoria:Anatomia
Ronney:Politickaght	Categoria:Política
Ronney:Edjaghys	Categoria:Educação
Ronney:Ellynyn	Categoria:Arte
Cleayn	Inclinação
Yn Egypt	Egito
Wikipedia:Reddaghey	Ajuda:Guia de edição/Desambiguação
Wikipedia:Ronnaghys	Wikipédia:Categoria
Pobblaght pharlamaidagh	República parlamentarista
Ronney:2013	Categoria:2013
Ronney:Reihyssyn	Categoria:Eleições
Clowan:Bot	Predefinição:Robô
Yn Chanadey	Canadá
Ronney:Yn Ungaar	Categoria:Hungria
Ronney:Çheeraghyn yn Unnaneys Oarpagh	Categoria:Estados membros da União Europeia
Ronney:Yn Velg	Categoria:Bélgica
Ronney:Yn Cheeprey	Categoria:Chipre
Ronney:Yn Phobblaght Çheck	Categoria:República Checa
Ronney:Yn Danvarg	Categoria:Dinamarca
Ronney:Yn Estaan	Categoria:Estónia
Ronney:Finnlynn	Categoria:Finlândia
Ronney:Yn Ghreag	Categoria:Grécia
Ronney:Yn Latvey	Categoria:Letónia
Ronney:Yn Eeslynn	Categoria:Islândia
Ronney:Lucsemburg	Categoria:Luxemburgo
Ronney:Yn Litaan	Categoria:Lituânia
Ronney:Yn Valta	Categoria:Malta
Ronney:Yn Toolynn	Categoria:Suécia
Ronney:Yn Clovack	Categoria:Eslováquia
Ronney:Yn Clovean	Categoria:Eslovénia
Ronney:Pobblaght Nerin	Categoria:República da Irlanda
Ronney:Artyn reiht	Categoria:!Artigos destacados
Ronney:Unnidyn eaghtyr	Categoria:Unidades de área
Ronney:Cloiaghyn	Categoria:Jogos
Ronney:Berleen	Categoria:Berlim
Ronney:Aarheynnyn ny Pobblaght Çheck	Categoria:Subdivisões da República Tcheca
Ronney:Çheer-oaylleeaght ny Pobblaght Çheck	Categoria:Geografia da República Checa
Ronney:Çheeraghyn ny h-Oarpey	Categoria:Países da Europa
Ronney:Yn Oarpey	Categoria:Europa
Ronney:Bunneydagh	Categoria:Classificações dos tópicos principais
Ronney:Cooney Wikipedia	Categoria:!Ajuda
Ronney:Ronnaghyn rere bun-chooish	Categoria:Categorias por tópico
Rio (emshir)	Geada
Clowan:Docamadys	Predefinição:Documentação
Ronney:Baljaghtyn 'sy Clovack	Categoria:Municípios da Eslováquia
Ronney:Ymmydeyryn	Categoria:!Wikipedistas
Wikipedia:Ynnyd y phobble	Wikipédia:Portal comunitário
Ronney:Ymmydeyryn rere çhengey	Categoria:!Wikipedistas por idioma
A Luneta Mágica	A Luneta Mágica
Ronney:Sleih rere caayr	Categoria:Pessoas por cidade
Ronney:Ronnaghyn rere caayr	Categoria:Categorias por cidade
Sung Jae-gi	Sung Jae-ki
Alfarrábios	Alfarrábios
Clowan:Aastiurey meein	Predefinição:Pseudorredirecionamento
Clowan:Scryssey	Predefinição:ER
Ronney:Leddogeyryn	Categoria:Tenistas
Rolley reeaghyn as benreinyn Goaldagh	Lista de monarcas britânicos
Ronney:Çhaghnoaylleeaght	Categoria:Tecnologia
Ronney:Çhengaghyn	Categoria:Línguas
Ronney:Grammeydys	Categoria:Gramática
Ronney:Feaillaghyn	Categoria:Datas comemorativas
Ronney:Wikipedia	Categoria:Wikipédia
Ronney:Caayryn as baljyn 'sy Phobblaght Çheck	Categoria:Cidades da República Checa
Ronney:Caayryn 'syn Oarpey	Categoria:Cidades da Europa
Ronney:Caayryn rere çheer	Categoria:Cidades por país
Ronney:Buill chummaltagh rere çheer	Categoria:Assentamentos por país
Wikipedia:Reamys	Wikipédia:Domínio
NGC 2207 as IC 2163	NGC 2207 e IC 2163
Clowan:Navbox	Predefinição:Navbox
Clowan:Cassan er lheh	Predefinição:Atalho
Ronney:Cryssyn traa	Categoria:Fusos horários
Balley corpagh	Borough
Miljan	Doçaria
Ronney:Aastiuraghyn	Categoria:!Redirecionamentos
Ronney:Cummal seose Wikipedia	Categoria:!Manutenção
Ronney:Leddogeyryn Rooshagh	Categoria:Tenistas da Rússia
Ronney:Leddogeyryn Oosbeckagh	Categoria:Tenistas do Uzbequistão
Ronney:Leddogeyryn Ungaaragh	Categoria:Tenistas da Hungria
Ronney:Leddogeyryn Polynnagh	Categoria:Tenistas da Polônia
Ronney:Leddogeyryn Spaainagh	Categoria:Tenistas da Espanha
Ronney:Leddogeyryn Goaldagh	Categoria:Tenistas do Reino Unido
Ronney:Olteynyn y Knesset	Categoria:Membros da Knesset
Clowan:!-	Predefinição:!-
Clowan:Tnavbar	Predefinição:Tnavbar
Ronney:Clowanyn cummey	Categoria:!Predefinições de formatação
Clowan:Lettyryn mooarey beggey	Predefinição:Smallcaps
Clowan:Glenney	Predefinição:Limpar
Clowan:Col-brishey	Predefinição:Col-break
Clowan:Col-toshiaght	Predefinição:Col-begin
Clowan:Nowrap	Predefinição:Nowrap
Simiiformes	Simiiformes
Cinco minutos	Cinco Minutos
Wikipedia:Artyn er-laccal	Wikipédia:Artigos essenciais
Ronney:Yn Affrick	Categoria:África
Ronney:Earrooyn	Categoria:Números
Ronney:Baljyn beggey	Categoria:Aldeias
Ronney:Aghteyryn çhellveeish Americaanagh	Categoria:Atores de televisão dos Estados Unidos
Ronney:Lioaryn	Categoria:Livros
Clowan:Babel	Predefinição:Babel
Clowan:Commons	Predefinição:Commons
Clowan:Kiangley AM	Predefinição:Bom interwiki
Clowan:Reflist	Predefinição:Referências
Ronney:Aghteyryn çhellveeish	Categoria:Atores de televisão
Clowan:Bun	Predefinição:Esboço
Ronney:Eashyn shendeeagh	Categoria:Eras históricas
Clowan:Ymmydeyr eo-1	Predefinição:User eo-1
Clowan:Jeeagh er reesht	Predefinição:VT
Clowan:Ymmydeyr da-2	Predefinição:User da-2
Clowan:Ymmydeyr ca-1	Predefinição:User ca-1
Clowan:Ymmydeyr be-2	Predefinição:User be-2
Clowan:Ymmydeyr da-1	Predefinição:User da-1
Clowan:Ymmydeyr cs-1	Predefinição:User cs-1
Clowan:Ymmydeyr bg-1	Predefinição:User bg-1
Clowan:Ymmydeyr eo-3	Predefinição:User eo-3
Clowan:Ymmydeyr de	Predefinição:User de
Clowan:Ymmydeyr de-1	Predefinição:User de-1
Clowan:Ymmydeyr el	Predefinição:User el
Clowan:Ymmydeyr es	Predefinição:User es
Clowan:Ymmydeyr de-3	Predefinição:User de-3
Clowan:Ymmydeyr en-3	Predefinição:User en-3
Clowan:Ymmydeyr el-1	Predefinição:User el-1
Clowan:Ymmydeyr en-1	Predefinição:User en-1
Clowan:Ymmydeyr en-2	Predefinição:User en-2
Clowan:Ymmydeyr fa-1	Predefinição:User fa-1
Clowan:Ymmydeyr en-4	Predefinição:User en-4
Clowan:Ymmydeyr fi	Predefinição:User fi
Clowan:Ymmydeyr en-0	Predefinição:User en-0
Clowan:Ymmydeyr en	Predefinição:User en
Clowan:Ymmydeyr de-2	Predefinição:User de-2
Clowan:Ymmydeyr es-1	Predefinição:User es-1
Ronney:Coryssyn tarmaynagh	Categoria:Sistemas econômicos
Clowan:Ymmydeyr fr-1	Predefinição:User fr-1
Ronney:Cultoor ny Steatyn Unnaneysit	Categoria:Cultura dos Estados Unidos
Ronney:Cultoor rere ashoonaght	Categoria:Cultura por país
Ronney:Stoo	Categoria:Matéria
Ronney:Eieyn	Categoria:Conceitos
Ronney:Bioys	Categoria:Vida
Ronney:Yn Tuinney	Categoria:Universo
Clowan:Ymmydeyr it-3	Predefinição:User it-3
Clowan:Ymmydeyr sk	Predefinição:User sk
Clowan:Ymmydeyr fr-2	Predefinição:User fr-2
Clowan:Ymmydeyr it-1	Predefinição:User it-1
Clowan:Ymmydeyr hr-1	Predefinição:User hr-1
Clowan:Ymmydeyr fr	Predefinição:User fr
Clowan:Pl jalloo	Predefinição:Pl icon
Ronney:Çhengaghyn ny h-Affrick Yiass	Categoria:Línguas da África do Sul
Ronney:Turrysaght	Categoria:Turismo
Ronney:Çhengaghyn ny Nameeb	Categoria:Línguas da Namíbia
Ronney:1957	Categoria:1957
Ronney:1949	Categoria:1949
Ronney:1927	Categoria:1927
Ronney:1919	Categoria:1919
Ronney:Clowanyn stiurey	Categoria:!Predefinições de caixas de navegação
Ronney:Insecta	Categoria:Insectos
Ronney:Koloin	Categoria:Colônia (Alemanha)
Ronney:Moldova	Categoria:Moldávia
Ronney:Yn Asserbajaan	Categoria:Azerbaijão
Ronney:Yn Aishey	Categoria:Ásia
Ronney:Yn Çhillee	Categoria:Chile
Ronney:21d eash	Categoria:Século XXI
Ronney:Queiggey Soria	Categoria:Província de Sória
Ronney:Lesoto	Categoria:Lesoto
Ronney:Clowanyn cummal seose	Categoria:!Predefinições de manutenção
Ronney:Ymmydeyr uk	Categoria:Usuários uk
Ronney:America Yiass	Categoria:América do Sul
Ronney:Yn Chashteel as León	Categoria:Castela e Leão
Ronney:1930	Categoria:1930
Ronney:1936	Categoria:1936
Ronney:1947	Categoria:1947
Ronney:1937	Categoria:1937
Ronney:1940	Categoria:1940
Ronney:1934	Categoria:1934
Ronney:1960	Categoria:1960
Ronney:1943	Categoria:1943
Ronney:1951	Categoria:1951
Ronney:1942	Categoria:1942
Ronney:Ardjyn ny h-Iddaal	Categoria:Regiões da Itália
Ronney:1959	Categoria:1959
Ronney:1938	Categoria:1938
Ronney:1928	Categoria:1928
Ronney:1913	Categoria:1913
Ronney:1918	Categoria:1918
Ronney:1954	Categoria:1954
Ronney:Yn Valaysia	Categoria:Malásia
Ronney:1941	Categoria:1941
Ronney:1955	Categoria:1955
Ronney:1950	Categoria:1950
Ronney:Bee	Categoria:Alimentos
Ronney:1921	Categoria:1921
Ronney:1977	Categoria:1977
Ronney:1946	Categoria:1946
Ronney:1948	Categoria:1948
Ronney:1932	Categoria:1932
Ronney:Soccer	Categoria:Futebol
Ronney:1945	Categoria:1945
Clowan:Mod	Predefinição:Mod
Ronney:1923	Categoria:1923
Ronney:1935	Categoria:1935
Ronney:1910	Categoria:1910
Ronney:1917	Categoria:1917
Ronney:1904	Categoria:1904
Ronney:1926	Categoria:1926
Clowan:NowCommons	Predefinição:Now Commons
Ronney:1907	Categoria:1907
Ronney:1914	Categoria:1914
Clowan:Ymmydeyr sv	Predefinição:User sv
Clowan:Screeuyn ISO 639-3	Predefinição:ISO639-3Documentação
Ronney:1929	Categoria:1929
Ronney:1920	Categoria:1920
Ronney:1925	Categoria:1925
Clowan:User uk	Predefinição:User uk
Ronney:1905	Categoria:1905
Ronney:1915	Categoria:1915
Clowan:Ymmydeyr es-2	Predefinição:User es-2
Ronney:1908	Categoria:1908
Clowan:Failt	Predefinição:Bem-vindo(a)
Ronney:1901	Categoria:1901
Ronney:1903	Categoria:1903
Ronney:1902	Categoria:1902
Ronney:1900	Categoria:1900
Clowan:Ru jalloo	Predefinição:Ru icon
Clowan:Wikipediasister	Predefinição:Projetos correlatos
Ronney:1933	Categoria:1933
Ronney:Clowanyn kianglaghyn çheumooie	Categoria:!Predefinições de ligações externas
Ronney:1912	Categoria:1912
Ronney:Yn Eayst	Categoria:Lua
Ronney:Clubyn soccer Hostyn	Categoria:Clubes de futebol da Inglaterra
Ronney:Clowanyn co-ordnaidyn	Categoria:!Predefinições de coordenadas
Ronney:1952	Categoria:1952
Clowan:JerreyImraa	Predefinição:Refend
Ronney:Buill chummaltagh 'sy Velaroosh	Categoria:Cidades da Bielorrússia
Ronney:Reirey clowanyn Wikipedia	Categoria:!Manutenção de predefinições
Ronney:Reagheydyssyn	Categoria:Organizações
Ronney:Clowanyn	Categoria:!Predefinições
Ronney:Clubyn soccer ny Germaan	Categoria:Clubes de futebol da Alemanha
Ronney:Çhengoaylleeaght	Categoria:Linguística
Clowan:Nerin - Coondaeghyn	Predefinição:Condados da Irlanda
Ronney:1911	Categoria:1911
Ronney:1922	Categoria:1922
Ronney:1924	Categoria:1924
Ronney:1906	Categoria:1906
Ronney:Clubyn soccer	Categoria:Clubes de futebol
Ronney:Ymmydeyr fr-1	Categoria:Usuário fr-1
Clowan:Wikiquote	Predefinição:Wikiquote
Ronney:Çheer-oaylleeaght rere boayl	Categoria:Geografia regional
Ronney:Clowanyn çheer Europagh	Categoria:!Predefinições sobre Europa
Ronney:Arraneyn ashoonagh	Categoria:Hinos nacionais
Ronney:Corys keeallagh	Categoria:Sistema sensorial
Clowan:Billey ronnaghyn	Predefinição:Árvore categoria
Ronney:Kiyt	Categoria:Gatos
Clowan:Toshiaght eash	Predefinição:Período começo
Clowan:Kishtey fys bluckaneyr	Predefinição:Info/Futebolista
Clowan:Es jalloo	Predefinição:((es))
Clowan:Ambox	Predefinição:Ambox
Clowan:Ronney Wikipedia	Predefinição:Categoria de administração
Ronney:Clowanyn çhaghnoaylleeaght as oaylleeaght feamagh	Categoria:!Predefinições sobre tecnologia
Clowan:Kishtey fys arrane ashoonagh	Predefinição:Info/Hino
Clowan:Navigational templates	Predefinição:Modelo de navegação
Clowan:Rheam creg-oaylleeagh/barr	Predefinição:Período fóssil/barra
Clowan:Cs jalloo	Predefinição:((cs))
Clowan:Sv jalloo	Predefinição:((sv))
Clowan:Ronney clowan	Predefinição:Categoria com predefinições
Ronney:Queiggaghyn	Categoria:Províncias
Clowan:Kishtey fys çheer	Predefinição:Info/País
Clowan:Max	Predefinição:Max
Clowan:Kishtey fys aer-lhuingys	Predefinição:Info/Companhia aérea
Clowan:Fi jalloo	Predefinição:Fi
Clowan:Collapsible option	Predefinição:Collapsible option
Clowan:Kishtey fys caggey	Predefinição:Info/Conflito militar
Clowan:Str left	Predefinição:Str left
Clowan:Px	Predefinição:Px
Clowan:Docamadys/ennymdoc	Predefinição:Documentação/nomedoc
Clowan:Selfref	Predefinição:Selfref
Clowan:Kishtey fys partee politickagh	Predefinição:Info/Partido político
Clowan:Rangyn bea-oaylleeagh	Predefinição:Nível taxonômico
Ronney:Aarheynnyn ny Frank	Categoria:Subdivisões da França
Clowan:Sk jalloo	Predefinição:((sk))
Ronney:Aarheynnyn y Reeriaght Unnaneysit	Categoria:Subdivisões do Reino Unido
Ronney:Buill chummaltagh	Categoria:Assentamentos
Clowan:Kishtey fys oayllee	Predefinição:Info/Cientista
Clowan:Clowan heose	Predefinição:Dablink
Clowan:Lang-ar	Predefinição:Lang-ar
Clowan:Art reiht rollage	Predefinição:Artigo destacado
Ronney:Ruggyryn 'sy vlein 1856	Categoria:Nascidos em 1856
Clowan:Kishtey fys ree	Predefinição:Info/Monarca
Ronney:Yn Ghaney	Categoria:Gana
Ronney:Paarys	Categoria:Paris
Ronney:Ymmydeyr en-4	Categoria:Utilizador en-4
Ronney:Budapest	Categoria:Budapeste
Ronney:Yn Togo	Categoria:Togo
Ronney:Ymmydeyr en	Categoria:Usuários en
Ronney:Ymmydeyr zh	Categoria:Usuários zh
Ronney:Yn Chroit	Categoria:Croácia
Ronney:Ymmydeyr zh-N	Categoria:Usuário zh
Ronney:Ymmydeyr en-2	Categoria:Usuário en-2
Clowan:Kishtey fys	Predefinição:Info
Clowan:Claare chummal yesh	Predefinição:TOC-direita
Clowan:Ymmydeyr zh	Predefinição:User zh
Clowan:Protected title	Predefinição:Protected title
Clowan:Lang-kk	Predefinição:Lang-kk
Ronney:Reeaghyn as benreinyn ny Frank	Categoria:Reis da França
Ronney:Abbyrlhittyn	Categoria:Alfabetos
Clowan:Colorbox	Predefinição:Colorbox
Ronney:Shennaghys America Hwoaie	Categoria:História da América do Norte
Ronney:Shennaghys rere çheer	Categoria:História dos países
Clowan:Template other	Predefinição:Template other
Clowan:Lang-da	Predefinição:Lang-da
Clowan:Lang-bg	Predefinição:Lang-bg
Ronney:Screeudeyryn Goaldagh	Categoria:Escritores do Reino Unido
Ronney:Ronnaghyn rere çheer	Categoria:Categorias por país
Ronney:Enmyn	Categoria:Nomes
Clowan:Ymmydeyr ru-4	Predefinição:User ru-4
Ronney:Caayryn as baljyn ayns Queiggey Rostov	Categoria:Cidades do oblast de Rostov
Ronney:Caayryn 'sy Turkee	Categoria:Cidades da Turquia
Ronney:Bee as jough	Categoria:Alimentação
Ronney:Troggal	Categoria:Construção
Clowan:Pp-template	Predefinição:Pp-template
Clowan:Ymmydeyr nl-1	Predefinição:User nl-1
Ronney:Jeeghyn	Categoria:Deidades
Clowan:Wikispecies	Predefinição:Wikispecies
Clowan:Wiktionary	Predefinição:Wikcionário
Ronney:Rosaceae	Categoria:Rosaceae
Clowan:Ymmydeyr nl-2	Predefinição:User nl-2
Clowan:Clowanyn mbox	Predefinição:Mbox templates
Clowan:Lang-crh	Predefinição:Lang-crh
Ronney:Caayryn as baljyn 'sy Danvarg	Categoria:Cidades da Dinamarca
Clowan:Kem	Predefinição:Fórmula química
Ronney:Eirinys	Categoria:Agricultura
Ronney:Yn Deherree	Categoria:Holocausto
Ronney:Çheer-oaylleeaght ny Kassaghstaan	Categoria:Geografia do Cazaquistão
Ronney:Oaylleeyn Soolynnagh	Categoria:Cientistas da Suécia
Clowan:Lang-hr	Predefinição:Lang-hr
Ronney:Myn-vioagh-oaylleeaght	Categoria:Microbiologia
Ronney:Caayryn ayns Massachusetts	Categoria:Cidades de Massachusetts
Clowan:Lang-sr	Predefinição:Lang-sr
Clowan:Kishtey fys boayl	Predefinição:Info/Assentamento
Ronney:Yn Vretyn Vooar	Categoria:Grã-Bretanha
Clowan:Ymmydeyr ru	Predefinição:User ru
Ronney:20oo eash	Categoria:Século XX
Clowan:ASE	Predefinição:AFI
Clowan:ITIS	Predefinição:ITIS
Ronney:Spiossyn	Categoria:Especiarias
Clowan:Ennym iddaalagh	Predefinição:Título em itálico
Clowan:Mean Fouyir	Predefinição:Calendário de setembro
Clowan:GFDL	Predefinição:CopyrightGFDL
Ronney:Sleih rere ashoonaght	Categoria:Pessoas por nacionalidade
Ronney:Çhengaghyn Sheenagh-Tibetagh	Categoria:Línguas sino-tibetanas
Clowan:Eaghtyraneyn ny Steatyn Unnaneysit	Predefinição:Presidentes dos Estados Unidos
Clowan:ÇhengeyLeshEnnym	Predefinição:Língua com nome
Ronney:Washington	Categoria:Washington
Ronney:Jeeghyn Greagagh	Categoria:Deuses gregos
Ronney:Aarheynnyn ny Çheerey Injil	Categoria:Subdivisões dos Países Baixos
Clowan:Non-free use rationale	Predefinição:Informação
Ronney:Shennaghys rere amm	Categoria:História por período
Clowan:Clade	Predefinição:Clado
Ronney:Unnidyn towse	Categoria:Unidades de medida
Clowan:Aastiurey ronney	Predefinição:Redirecionamento de categoria
Wikipedia:GNU Free Documentation License	Wikipédia:GNU Free Documentation License
Clowan:Ardjyn ny h-Iddaal	Predefinição:Itália/Regiões
Clowan:Kishtey Fys - Eaghtyrane	Predefinição:Info/Político
Ronney:Çhengaghyn lomarcan	Categoria:Línguas isoladas
Clowan:Border	Predefinição:Borda
Ronney:Boodeeyssyn hene-reiltagh ny Spaainey	Categoria:Comunidades autônomas da Espanha
Ronney:Ruggyryn 'sy vlein 1879	Categoria:Nascidos em 1879
Ronney:Ruggyryn 'sy vlein 1955	Categoria:Nascidos em 1955
Ronney:Ruggyryn 'sy vlein 1963	Categoria:Nascidos em 1963
Clowan:Kishtey fys baagh/daah	Predefinição:Info/Taxonomia/cor
Ronney:Baaseyn 'sy vlein 1884	Categoria:Mortos em 1884
Ronney:Baaseyn 'sy vlein 1875	Categoria:Mortos em 1875
Ronney:Ruggyryn 'sy vlein 1868	Categoria:Nascidos em 1868
Ronney:Ruggyryn 'sy vlein 1812	Categoria:Nascidos em 1812
Ronney:Ruggyryn 'sy vlein 1837	Categoria:Nascidos em 1837
Ronney:Ruggyryn 'sy vlein 1829	Categoria:Nascidos em 1829
Ronney:Ewnyn	Categoria:Judeus
Clowan:Fmbox	Predefinição:Fmbox
Ronney:Malpighiales	Categoria:Malpighiales
Ronney:19oo eash	Categoria:Século XIX
Clowan:Lang-cs	Predefinição:Lang-cs
Clowan:Steatyn ny Germaan	Predefinição:Estados da Alemanha
Clowan:Kishtey fys lioar	Predefinição:Info/Livro
Ronney:Toshee steat	Categoria:Chefes de Estado
Clowan:Ymmydeyr pt-1	Predefinição:User pt-1
Ronney:1931	Categoria:1931
Ronney:1958	Categoria:1958
Ronney:1956	Categoria:1956
Ronney:1944	Categoria:1944
Ronney:1916	Categoria:1916
Ronney:Politickaght rere ard	Categoria:Política por continente
Ronney:1939	Categoria:1939
Clowan:Taabyl reiltagh ny bunstooghyn cumir	Predefinição:Tabela periódica compacta
Clowan:Lang-fa	Predefinição:Lang-fa
Ronney:1909	Categoria:1909
Ronney:Caayr Pheddyr	Categoria:São Petersburgo
Clowan:ICD10	Predefinição:CID10
Clowan:Ymmydeyr pl	Predefinição:User pl
Clowan:Ymmydeyr nl	Predefinição:User nl
Clowan:Ronney follit	Predefinição:Categoria oculta
Ronney:1022	Categoria:1022
Ronney:Craueeaghtyn	Categoria:Crenças, tradições e movimentos religiosos
Clowan:Fo-ghuillag docamadys	Predefinição:Subpágina de documentação
Clowan:Steatyn as thallooyn ny h-Austrail	Predefinição:Austrália
Clowan:Ref label	Predefinição:Ref label
Clowan:Coryssyn as oltyn deiney	Predefinição:Sistemas do corpo humano
Ronney:Yn Cheeprey Hwoaie	Categoria:República Turca do Chipre do Norte
Wikipedia:Roie-raa 2	Wikipédia:Introdução/2
Clowan:Tlx	Predefinição:Tlx
Clowan:Div col end	Predefinição:Div col fim
Clowan:GFDL-self	Predefinição:GFDL-self
Clowan:Str len	Predefinição:Str len
Clowan:Lang-de	Predefinição:Lang-de
Clowan:Be jalloo	Predefinição:Be
Clowan:Lang-la	Predefinição:Lang-la
Clowan:Caslys-çheerey soiaghey ny Steatyn Unnaneysit	Predefinição:Mapa de localização/Estados Unidos
Ronney:Aghteyryn rere ym-ysseraght	Categoria:Atores por mídia
Clowan:Lang-el	Predefinição:Lang-el
Clowan:Dean	Predefinição:Gol
Ronney:Toshee steat rere çheer	Categoria:Chefes de Estado por país
Ronney:Tasht-fockle	Categoria:Vocabulário
Clowan:Beashnys ven-chloieder an-ghraagh	Predefinição:Info/Bio adulto
Ronney:Focklyn	Categoria:Palavras
Ronney:Ellanyn ny Frank	Categoria:Ilhas da França
Ronney:Ronsaghey-kirpey lossreeyn	Categoria:Anatomia vegetal
Ronney:Alcoalyn	Categoria:Álcoois
Ronney:Commyoonyn 'sy Rank rere rheynn	Categoria:Comunas da França por departamento
Clowan:Kishtey fys albym	Predefinição:Info/Álbum
Ronney:Ushtaghyn	Categoria:Corpos de água
Ronney:Thieyn as strughtooryn ayns Jerusalem	Categoria:Construções de Jerusalém
Ronney:Bun-dooghyssee ny Steatyn Unnaneysit	Categoria:Indígenas dos Estados Unidos
Ronney:Puirt aer 'sy Vietnam	Categoria:Aeroportos do Vietname
Ronney:Colughtyn	Categoria:Empresas
